Cap,Name,St
2,Mahendra Singh Dhoni ,0.0
4,Dinesh Karthik ,0.0
17,Rohit Sharma ,0.0
31,Virat Kohli ,0.0
36,Shikhar Dhawan,0.0
42,Umesh Yadav,0.0
45,Bhuvneshwar Kumar,0.0
52,Manish Pandey,0.0
53,Axar Patel,0.0
57,Jasprit Bumrah,0.0
58,Hardik Pandya,0.0
60,Yuzvendra Chahal,0.0
63,K. L. Rahul,0.0
64,Jaydev Unadkat,0.0
69,Kuldeep Yadav,0.0
70,Shreyas Iyer,0.0
33,Suresh Raina,0.0
