Cap,Name,Avg
2,Mahendra Singh Dhoni ,53.75243883710936
4,Dinesh Karthik ,18.713715016118243
17,Rohit Sharma ,35.748206591466406
31,Virat Kohli ,13.400568374970241
36,Shikhar Dhawan,28.039178117089726
42,Umesh Yadav,4.1641088310637695
45,Bhuvneshwar Kumar,0.5337087882001015
52,Manish Pandey,15.50634116094363
53,Axar Patel,11.590665379005884
57,Jasprit Bumrah,-5.18824652235862
58,Hardik Pandya,18.007801122012705
60,Yuzvendra Chahal,-8.556886114825152
63,K. L. Rahul,6.298091472030324
64,Jaydev Unadkat,0.6918907587727618
69,Kuldeep Yadav,0.7661889534887321
70,Shreyas Iyer,10.693484134590298
33,Suresh Raina,54.8753083745447
